CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
41454384,K TOWN,Manhattan,34,WEST   32 STREET,10001.0,2126432603,Korean,11/14/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,12.0,A,11/14/2018,09/18/2019,Cycle Inspection / Re-inspection,40.747819056202005,-73.98710122790101,105.0,4.0,7600.0,1015832.0,1008330063.0,MN17
50000203,VINICIO'S RESTAURANT,Queens,4021,108TH ST,11368.0,7184783600,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04/23/2019,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,11.0,A,04/23/2019,09/18/2019,Cycle Inspection / Initial Inspection,40.750510414882996,-73.858649071811,404.0,21.0,40100.0,4049227.0,4019960088.0,QN26
41647941,FRATELLI PIZZERIA,Staten Island,27,SEGUINE AVENUE,10309.0,7183568742,Pizza/Italian,02/20/2019,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",N,,,,09/18/2019,Administrative Miscellaneous / Re-inspection,40.525678003581,-74.201127401275,503.0,51.0,19800.0,5082831.0,5066810015.0,SI01
41549472,FEI TENG RESTAURANT,Manhattan,68,EAST BROADWAY,10002.0,2122748659,Chinese,11/06/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,25.0,B,11/06/2017,09/18/2019,Cycle Inspection / Re-inspection,40.713639120809,-73.995231281861,103.0,1.0,800.0,1003506.0,1002810032.0,MN27
50047741,LA KUCHARA,Queens,9507,31ST AVE,11369.0,7186077758,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04/02/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,12.0,A,04/02/2018,09/18/2019,Cycle Inspection / Initial Inspection,40.760576068824,-73.873268797929,403.0,21.0,35300.0,4033707.0,4013930045.0,QN27
50017839,TIJUANA PICNIC,Manhattan,151,ESSEX ST,10002.0,2122192000,Mexican,08/23/2018,Violations were cited in the following area(s).,15F6,,,,,,09/18/2019,Smoke-Free Air Act / Re-inspection,40.720621189869,-73.987146195422,103.0,1.0,3001.0,1079703.0,1004110058.0,MN27
41447522,FLATBUSH LATIN GRILL,Brooklyn,1902,CHURCH AVENUE,11226.0,7184622022,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",01/28/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,26.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.649822388345,-73.961987789722,314.0,40.0,51002.0,3117112.0,3050990101.0,BK42
41669157,EMPIRE HOUSE CHINESE RESTAURANT,Brooklyn,1789,STILLWELL AVENUE,11223.0,7182343040,Chinese,09/15/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,6.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.602856408312995,-73.986416306156,311.0,44.0,40400.0,3176368.0,3066430052.0,BK29
50087361,PROOF COFFEE ROASTERS,Manhattan,2286,7TH AVE,10030.0,3142300768,Café/Coffee/Tea,04/24/2019,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Y,61.0,,,09/18/2019,Pre-permit (Operational) / Initial Inspection,40.814887898189,-73.94401384839401,110.0,9.0,22800.0,1058842.0,1019400031.0,MN03
40382057,DYKER BEACH GOLF (GRILL ROOM),Brooklyn,1020,86th Street,11228.0,7188369722,American,06/12/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10.0,A,06/12/2019,09/18/2019,Cycle Inspection / Re-inspection,40.617715737743,-74.01999468055399,310.0,43.0,15400.0,,3.0,BK99
